Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Porto de Vigo";"";""
"15/05/2023";"Temperatura media  atura a 1.5m";"17.41";"1";"ºC"
"16/05/2023";"Lluvia";"0.0";"1";"L/m2"
"16/05/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"16/05/2023";"Temperatura media  atura a 1.5m";"17.55";"1";"ºC"
"17/05/2023";"Lluvia";"0.0";"1";"L/m2"
"17/05/2023";"Humedad relativa media a 1.5m";"47";"1";"%"
"17/05/2023";"Temperatura media  atura a 1.5m";"19.80";"1";"ºC"
"18/05/2023";"Lluvia";"0.0";"1";"L/m2"
"18/05/2023";"Humedad relativa media a 1.5m";"48";"1";"%"
"18/05/2023";"Temperatura media  atura a 1.5m";"18.09";"1";"ºC"
"19/05/2023";"Lluvia";"0.0";"1";"L/m2"
"19/05/2023";"Humedad relativa media a 1.5m";"51";"1";"%"
"19/05/2023";"Temperatura media  atura a 1.5m";"17.55";"1";"ºC"
"20/05/2023";"Lluvia";"0.0";"1";"L/m2"
"20/05/2023";"Humedad relativa media a 1.5m";"50";"1";"%"
"20/05/2023";"Temperatura media  atura a 1.5m";"18.02";"1";"ºC"
"21/05/2023";"Lluvia";"0.0";"1";"L/m2"
"21/05/2023";"Humedad relativa media a 1.5m";"56";"1";"%"
"21/05/2023";"Temperatura media  atura a 1.5m";"18.21";"1";"ºC"
"22/05/2023";"Lluvia";"0.0";"1";"L/m2"
"22/05/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"22/05/2023";"Temperatura media  atura a 1.5m";"19.82";"1";"ºC"
"23/05/2023";"Lluvia";"0.0";"1";"L/m2"
"23/05/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"23/05/2023";"Temperatura media  atura a 1.5m";"21.15";"1";"ºC"
"24/05/2023";"Lluvia";"0.3";"1";"L/m2"
"24/05/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"24/05/2023";"Temperatura media  atura a 1.5m";"20.85";"1";"ºC"
"25/05/2023";"Lluvia";"0.0";"1";"L/m2"
"25/05/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"25/05/2023";"Temperatura media  atura a 1.5m";"20.25";"1";"ºC"
"26/05/2023";"Lluvia";"20.0";"1";"L/m2"
"26/05/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"26/05/2023";"Temperatura media  atura a 1.5m";"17.98";"1";"ºC"
"27/05/2023";"Lluvia";"0.0";"1";"L/m2"
"27/05/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"27/05/2023";"Temperatura media  atura a 1.5m";"17.83";"1";"ºC"
"28/05/2023";"Lluvia";"3.1";"1";"L/m2"
"28/05/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"28/05/2023";"Temperatura media  atura a 1.5m";"16.44";"1";"ºC"
"29/05/2023";"Lluvia";"4.5";"1";"L/m2"
"29/05/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"29/05/2023";"Temperatura media  atura a 1.5m";"16.38";"1";"ºC"
"30/05/2023";"Lluvia";"0.0";"1";"L/m2"
"30/05/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"30/05/2023";"Temperatura media  atura a 1.5m";"17.15";"1";"ºC"
"31/05/2023";"Lluvia";"0.4";"1";"L/m2"
"31/05/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"31/05/2023";"Temperatura media  atura a 1.5m";"17.47";"1";"ºC"
"01/06/2023";"Lluvia";"4.5";"1";"L/m2"
"01/06/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"01/06/2023";"Temperatura media  atura a 1.5m";"17.51";"1";"ºC"
"02/06/2023";"Lluvia";"0.0";"1";"L/m2"
"02/06/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"02/06/2023";"Temperatura media  atura a 1.5m";"18.38";"1";"ºC"
"03/06/2023";"Lluvia";"0.0";"1";"L/m2"
"03/06/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"03/06/2023";"Temperatura media  atura a 1.5m";"17.51";"1";"ºC"
"04/06/2023";"Lluvia";"0.0";"1";"L/m2"
"04/06/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"04/06/2023";"Temperatura media  atura a 1.5m";"17.46";"1";"ºC"
"05/06/2023";"Lluvia";"0.0";"1";"L/m2"
"05/06/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"05/06/2023";"Temperatura media  atura a 1.5m";"17.57";"1";"ºC"
"06/06/2023";"Lluvia";"0.0";"1";"L/m2"
"06/06/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"06/06/2023";"Temperatura media  atura a 1.5m";"22.22";"1";"ºC"
"07/06/2023";"Lluvia";"16.4";"1";"L/m2"
"07/06/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"07/06/2023";"Temperatura media  atura a 1.5m";"20.08";"1";"ºC"
"08/06/2023";"Lluvia";"50.0";"1";"L/m2"
"08/06/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"08/06/2023";"Temperatura media  atura a 1.5m";"20.06";"1";"ºC"
"09/06/2023";"Lluvia";"9.2";"1";"L/m2"
"09/06/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"09/06/2023";"Temperatura media  atura a 1.5m";"19.89";"1";"ºC"
"10/06/2023";"Lluvia";"0.6";"1";"L/m2"
"10/06/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"10/06/2023";"Temperatura media  atura a 1.5m";"18.92";"1";"ºC"
"11/06/2023";"Lluvia";"0.0";"1";"L/m2"
"11/06/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"11/06/2023";"Temperatura media  atura a 1.5m";"18.62";"1";"ºC"
"12/06/2023";"Lluvia";"1.4";"1";"L/m2"
"12/06/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"12/06/2023";"Temperatura media  atura a 1.5m";"19.79";"1";"ºC"
"13/06/2023";"Lluvia";"0.3";"1";"L/m2"
"13/06/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"13/06/2023";"Temperatura media  atura a 1.5m";"19.45";"1";"ºC"
"14/06/2023";"Lluvia";"0.0";"1";"L/m2"
"14/06/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"14/06/2023";"Temperatura media  atura a 1.5m";"20.00";"1";"ºC"
"15/06/2023";"Lluvia";"0.0";"1";"L/m2"
"15/06/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"15/06/2023";"Temperatura media  atura a 1.5m";"21.17";"1";"ºC"
"16/06/2023";"Lluvia";"0.0";"1";"L/m2"
"16/06/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"16/06/2023";"Temperatura media  atura a 1.5m";"21.03";"1";"ºC"
"17/06/2023";"Lluvia";"0.0";"1";"L/m2"
"17/06/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"17/06/2023";"Temperatura media  atura a 1.5m";"20.39";"1";"ºC"
"18/06/2023";"Lluvia";"1.4";"1";"L/m2"
"18/06/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"18/06/2023";"Temperatura media  atura a 1.5m";"20.44";"1";"ºC"
"19/06/2023";"Lluvia";"17.5";"1";"L/m2"
"19/06/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"19/06/2023";"Temperatura media  atura a 1.5m";"19.38";"1";"ºC"
"20/06/2023";"Lluvia";"0.0";"1";"L/m2"
"20/06/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"20/06/2023";"Temperatura media  atura a 1.5m";"18.97";"1";"ºC"
"21/06/2023";"Lluvia";"0.0";"1";"L/m2"
"21/06/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"21/06/2023";"Temperatura media  atura a 1.5m";"19.82";"1";"ºC"
"22/06/2023";"Lluvia";"0.0";"1";"L/m2"
"22/06/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"22/06/2023";"Temperatura media  atura a 1.5m";"20.45";"1";"ºC"
"23/06/2023";"Lluvia";"0.0";"1";"L/m2"
"23/06/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"23/06/2023";"Temperatura media  atura a 1.5m";"22.85";"1";"ºC"
"24/06/2023";"Lluvia";"0.0";"1";"L/m2"
"24/06/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"24/06/2023";"Temperatura media  atura a 1.5m";"23.04";"1";"ºC"
"25/06/2023";"Lluvia";"0.0";"1";"L/m2"
"25/06/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"25/06/2023";"Temperatura media  atura a 1.5m";"22.43";"1";"ºC"
"26/06/2023";"Lluvia";"0.0";"1";"L/m2"
"26/06/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"26/06/2023";"Temperatura media  atura a 1.5m";"24.03";"1";"ºC"
"27/06/2023";"Lluvia";"0.0";"1";"L/m2"
"27/06/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"27/06/2023";"Temperatura media  atura a 1.5m";"24.14";"1";"ºC"
"28/06/2023";"Lluvia";"0.0";"1";"L/m2"
"28/06/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"28/06/2023";"Temperatura media  atura a 1.5m";"22.60";"1";"ºC"
"29/06/2023";"Lluvia";"0.0";"1";"L/m2"
"29/06/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"29/06/2023";"Temperatura media  atura a 1.5m";"20.09";"1";"ºC"
"30/06/2023";"Lluvia";"0.0";"1";"L/m2"
"30/06/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"30/06/2023";"Temperatura media  atura a 1.5m";"19.66";"1";"ºC"
"01/07/2023";"Lluvia";"0.0";"1";"L/m2"
"01/07/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"01/07/2023";"Temperatura media  atura a 1.5m";"22.51";"1";"ºC"
"02/07/2023";"Lluvia";"0.0";"1";"L/m2"
"02/07/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"02/07/2023";"Temperatura media  atura a 1.5m";"24.54";"1";"ºC"
"03/07/2023";"Lluvia";"0.0";"1";"L/m2"
"03/07/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"03/07/2023";"Temperatura media  atura a 1.5m";"21.53";"1";"ºC"
"04/07/2023";"Lluvia";"0.0";"1";"L/m2"
"04/07/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"04/07/2023";"Temperatura media  atura a 1.5m";"19.44";"1";"ºC"
"05/07/2023";"Lluvia";"0.0";"1";"L/m2"
"05/07/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"05/07/2023";"Temperatura media  atura a 1.5m";"19.36";"1";"ºC"
"06/07/2023";"Lluvia";"0.0";"1";"L/m2"
"06/07/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"06/07/2023";"Temperatura media  atura a 1.5m";"18.84";"1";"ºC"
"07/07/2023";"Lluvia";"5.1";"1";"L/m2"
"07/07/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"07/07/2023";"Temperatura media  atura a 1.5m";"19.95";"1";"ºC"
"08/07/2023";"Lluvia";"1.9";"1";"L/m2"
"08/07/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"08/07/2023";"Temperatura media  atura a 1.5m";"19.84";"1";"ºC"
"09/07/2023";"Lluvia";"0.0";"1";"L/m2"
"09/07/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"09/07/2023";"Temperatura media  atura a 1.5m";"18.87";"1";"ºC"
"10/07/2023";"Lluvia";"0.0";"1";"L/m2"
"10/07/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"10/07/2023";"Temperatura media  atura a 1.5m";"19.62";"1";"ºC"
"11/07/2023";"Lluvia";"0.0";"1";"L/m2"
"11/07/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"11/07/2023";"Temperatura media  atura a 1.5m";"20.08";"1";"ºC"
"12/07/2023";"Lluvia";"0.0";"1";"L/m2"
"12/07/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"12/07/2023";"Temperatura media  atura a 1.5m";"19.98";"1";"ºC"
"13/07/2023";"Lluvia";"0.0";"1";"L/m2"
"13/07/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"13/07/2023";"Temperatura media  atura a 1.5m";"19.65";"1";"ºC"
"14/07/2023";"Lluvia";"1.9";"1";"L/m2"
"14/07/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"14/07/2023";"Temperatura media  atura a 1.5m";"20.27";"1";"ºC"
"15/07/2023";"Lluvia";"1.5";"1";"L/m2"
"15/07/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"15/07/2023";"Temperatura media  atura a 1.5m";"19.19";"1";"ºC"
"16/07/2023";"Lluvia";"0.0";"1";"L/m2"
"16/07/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"16/07/2023";"Temperatura media  atura a 1.5m";"18.72";"1";"ºC"
"17/07/2023";"Lluvia";"0.0";"1";"L/m2"
"17/07/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"17/07/2023";"Temperatura media  atura a 1.5m";"21.02";"1";"ºC"
"18/07/2023";"Lluvia";"0.0";"1";"L/m2"
"18/07/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"18/07/2023";"Temperatura media  atura a 1.5m";"20.47";"1";"ºC"
"19/07/2023";"Lluvia";"0.0";"1";"L/m2"
"19/07/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"19/07/2023";"Temperatura media  atura a 1.5m";"22.49";"1";"ºC"
"20/07/2023";"Lluvia";"0.0";"1";"L/m2"
"20/07/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"20/07/2023";"Temperatura media  atura a 1.5m";"19.96";"1";"ºC"
"21/07/2023";"Lluvia";"0.0";"1";"L/m2"
"21/07/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"21/07/2023";"Temperatura media  atura a 1.5m";"20.14";"1";"ºC"
"22/07/2023";"Lluvia";"0.0";"1";"L/m2"
"22/07/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"22/07/2023";"Temperatura media  atura a 1.5m";"20.74";"1";"ºC"
"23/07/2023";"Lluvia";"1.4";"1";"L/m2"
"23/07/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"23/07/2023";"Temperatura media  atura a 1.5m";"19.48";"1";"ºC"
"24/07/2023";"Lluvia";"0.5";"1";"L/m2"
"24/07/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"24/07/2023";"Temperatura media  atura a 1.5m";"19.22";"1";"ºC"
"25/07/2023";"Lluvia";"0.0";"1";"L/m2"
"25/07/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"25/07/2023";"Temperatura media  atura a 1.5m";"19.45";"1";"ºC"
"26/07/2023";"Lluvia";"0.0";"1";"L/m2"
"26/07/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"26/07/2023";"Temperatura media  atura a 1.5m";"20.57";"1";"ºC"
"27/07/2023";"Lluvia";"0.0";"1";"L/m2"
"27/07/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"27/07/2023";"Temperatura media  atura a 1.5m";"19.75";"1";"ºC"
"28/07/2023";"Lluvia";"4.2";"1";"L/m2"
"28/07/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"28/07/2023";"Temperatura media  atura a 1.5m";"20.82";"1";"ºC"
"29/07/2023";"Lluvia";"2.0";"1";"L/m2"
"29/07/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"29/07/2023";"Temperatura media  atura a 1.5m";"20.45";"1";"ºC"
"30/07/2023";"Lluvia";"0.0";"1";"L/m2"
"30/07/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"30/07/2023";"Temperatura media  atura a 1.5m";"19.63";"1";"ºC"
"31/07/2023";"Lluvia";"0.0";"1";"L/m2"
"31/07/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"31/07/2023";"Temperatura media  atura a 1.5m";"20.26";"1";"ºC"
"01/08/2023";"Lluvia";"4.6";"1";"L/m2"
"01/08/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"01/08/2023";"Temperatura media  atura a 1.5m";"20.61";"1";"ºC"
"02/08/2023";"Lluvia";"5.1";"1";"L/m2"
"02/08/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"02/08/2023";"Temperatura media  atura a 1.5m";"20.38";"1";"ºC"
"03/08/2023";"Lluvia";"0.0";"1";"L/m2"
"03/08/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"03/08/2023";"Temperatura media  atura a 1.5m";"19.86";"1";"ºC"
"04/08/2023";"Lluvia";"0.0";"1";"L/m2"
"04/08/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"04/08/2023";"Temperatura media  atura a 1.5m";"20.74";"1";"ºC"
"05/08/2023";"Lluvia";"0.0";"1";"L/m2"
"05/08/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"05/08/2023";"Temperatura media  atura a 1.5m";"21.74";"1";"ºC"
"06/08/2023";"Lluvia";"0.0";"1";"L/m2"
"06/08/2023";"Humedad relativa media a 1.5m";"55";"1";"%"
"06/08/2023";"Temperatura media  atura a 1.5m";"24.20";"1";"ºC"
"07/08/2023";"Lluvia";"0.0";"1";"L/m2"
"07/08/2023";"Humedad relativa media a 1.5m";"54";"1";"%"
"07/08/2023";"Temperatura media  atura a 1.5m";"24.93";"1";"ºC"
"08/08/2023";"Lluvia";"0.0";"1";"L/m2"
"08/08/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"08/08/2023";"Temperatura media  atura a 1.5m";"23.74";"1";"ºC"
"09/08/2023";"Lluvia";"0.0";"1";"L/m2"
"09/08/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"09/08/2023";"Temperatura media  atura a 1.5m";"20.79";"1";"ºC"
"10/08/2023";"Lluvia";"0.0";"1";"L/m2"
"10/08/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"10/08/2023";"Temperatura media  atura a 1.5m";"20.62";"1";"ºC"
"11/08/2023";"Lluvia";"0.0";"1";"L/m2"
"11/08/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"11/08/2023";"Temperatura media  atura a 1.5m";"20.88";"1";"ºC"
"12/08/2023";"Lluvia";"0.0";"1";"L/m2"
"12/08/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"12/08/2023";"Temperatura media  atura a 1.5m";"20.71";"1";"ºC"
"13/08/2023";"Lluvia";"0.0";"1";"L/m2"
"13/08/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"13/08/2023";"Temperatura media  atura a 1.5m";"19.89";"1";"ºC"
"14/08/2023";"Lluvia";"0.0";"1";"L/m2"
"14/08/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"14/08/2023";"Temperatura media  atura a 1.5m";"19.86";"1";"ºC"
"15/08/2023";"Lluvia";"0.0";"1";"L/m2"
"15/08/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"15/08/2023";"Temperatura media  atura a 1.5m";"21.31";"1";"ºC"
"16/08/2023";"Lluvia";"0.0";"1";"L/m2"
"16/08/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"16/08/2023";"Temperatura media  atura a 1.5m";"20.90";"1";"ºC"
"17/08/2023";"Lluvia";"0.0";"1";"L/m2"
"17/08/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"17/08/2023";"Temperatura media  atura a 1.5m";"20.13";"1";"ºC"
"18/08/2023";"Lluvia";"17.2";"1";"L/m2"
"18/08/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"18/08/2023";"Temperatura media  atura a 1.5m";"23.38";"1";"ºC"
"19/08/2023";"Lluvia";"13.5";"1";"L/m2"
"19/08/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"19/08/2023";"Temperatura media  atura a 1.5m";"20.33";"1";"ºC"
"20/08/2023";"Lluvia";"0.0";"1";"L/m2"
"20/08/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"20/08/2023";"Temperatura media  atura a 1.5m";"21.39";"1";"ºC"
"21/08/2023";"Lluvia";"0.0";"1";"L/m2"
"21/08/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"21/08/2023";"Temperatura media  atura a 1.5m";"22.81";"1";"ºC"
"22/08/2023";"Lluvia";"0.0";"1";"L/m2"
"22/08/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"22/08/2023";"Temperatura media  atura a 1.5m";"26.03";"1";"ºC"
"23/08/2023";"Lluvia";"0.0";"1";"L/m2"
"23/08/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"23/08/2023";"Temperatura media  atura a 1.5m";"22.43";"1";"ºC"
"24/08/2023";"Lluvia";"0.0";"1";"L/m2"
"24/08/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"24/08/2023";"Temperatura media  atura a 1.5m";"21.28";"1";"ºC"
"25/08/2023";"Lluvia";"0.0";"1";"L/m2"
"25/08/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"25/08/2023";"Temperatura media  atura a 1.5m";"21.17";"1";"ºC"
"26/08/2023";"Lluvia";"0.0";"1";"L/m2"
"26/08/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"26/08/2023";"Temperatura media  atura a 1.5m";"19.22";"1";"ºC"
"27/08/2023";"Lluvia";"0.0";"1";"L/m2"
"27/08/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"27/08/2023";"Temperatura media  atura a 1.5m";"19.13";"1";"ºC"
"28/08/2023";"Lluvia";"0.0";"1";"L/m2"
"28/08/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"28/08/2023";"Temperatura media  atura a 1.5m";"19.28";"1";"ºC"
"29/08/2023";"Lluvia";"0.0";"1";"L/m2"
"29/08/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"29/08/2023";"Temperatura media  atura a 1.5m";"19.97";"1";"ºC"
"30/08/2023";"Lluvia";"0.0";"1";"L/m2"
"30/08/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"30/08/2023";"Temperatura media  atura a 1.5m";"20.25";"1";"ºC"
"31/08/2023";"Lluvia";"0.0";"1";"L/m2"
"31/08/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"31/08/2023";"Temperatura media  atura a 1.5m";"20.18";"1";"ºC"
"01/09/2023";"Lluvia";"0.0";"1";"L/m2"
"01/09/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"01/09/2023";"Temperatura media  atura a 1.5m";"18.82";"1";"ºC"
"02/09/2023";"Lluvia";"1.7";"1";"L/m2"
"02/09/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"02/09/2023";"Temperatura media  atura a 1.5m";"19.21";"1";"ºC"
"03/09/2023";"Lluvia";"0.0";"1";"L/m2"
"03/09/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"03/09/2023";"Temperatura media  atura a 1.5m";"22.06";"1";"ºC"
"04/09/2023";"Lluvia";"5.7";"1";"L/m2"
"04/09/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"04/09/2023";"Temperatura media  atura a 1.5m";"20.54";"1";"ºC"
"05/09/2023";"Lluvia";"5.8";"1";"L/m2"
"05/09/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"05/09/2023";"Temperatura media  atura a 1.5m";"22.15";"1";"ºC"
"06/09/2023";"Lluvia";"0.0";"1";"L/m2"
"06/09/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"06/09/2023";"Temperatura media  atura a 1.5m";"21.37";"1";"ºC"
"07/09/2023";"Lluvia";"0.0";"1";"L/m2"
"07/09/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"07/09/2023";"Temperatura media  atura a 1.5m";"21.43";"1";"ºC"
"08/09/2023";"Lluvia";"0.0";"1";"L/m2"
"08/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"08/09/2023";"Temperatura media  atura a 1.5m";"20.88";"1";"ºC"
"09/09/2023";"Lluvia";"14.0";"1";"L/m2"
"09/09/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"09/09/2023";"Temperatura media  atura a 1.5m";"20.07";"1";"ºC"
"10/09/2023";"Lluvia";"0.0";"1";"L/m2"
"10/09/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"10/09/2023";"Temperatura media  atura a 1.5m";"20.33";"1";"ºC"
"11/09/2023";"Lluvia";"0.0";"1";"L/m2"
"11/09/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"11/09/2023";"Temperatura media  atura a 1.5m";"19.67";"1";"ºC"
"12/09/2023";"Lluvia";"0.0";"1";"L/m2"
"12/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"12/09/2023";"Temperatura media  atura a 1.5m";"20.32";"1";"ºC"
"13/09/2023";"Lluvia";"0.0";"1";"L/m2"
"13/09/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"13/09/2023";"Temperatura media  atura a 1.5m";"22.86";"1";"ºC"
"14/09/2023";"Lluvia";"0.0";"1";"L/m2"
"14/09/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"14/09/2023";"Temperatura media  atura a 1.5m";"22.40";"1";"ºC"
"15/09/2023";"Lluvia";"0.0";"1";"L/m2"
"15/09/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"15/09/2023";"Temperatura media  atura a 1.5m";"19.88";"1";"ºC"
"16/09/2023";"Lluvia";"2.5";"1";"L/m2"
"16/09/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"16/09/2023";"Temperatura media  atura a 1.5m";"20.84";"1";"ºC"
"17/09/2023";"Lluvia";"5.9";"1";"L/m2"
"17/09/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"17/09/2023";"Temperatura media  atura a 1.5m";"19.33";"1";"ºC"
"18/09/2023";"Lluvia";"13.1";"1";"L/m2"
"18/09/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"18/09/2023";"Temperatura media  atura a 1.5m";"18.79";"1";"ºC"
"19/09/2023";"Lluvia";"0.0";"1";"L/m2"
"19/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"19/09/2023";"Temperatura media  atura a 1.5m";"18.24";"1";"ºC"
"20/09/2023";"Lluvia";"7.8";"1";"L/m2"
"20/09/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"20/09/2023";"Temperatura media  atura a 1.5m";"19.54";"1";"ºC"
"21/09/2023";"Lluvia";"3.7";"1";"L/m2"
"21/09/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"21/09/2023";"Temperatura media  atura a 1.5m";"18.06";"1";"ºC"
"22/09/2023";"Lluvia";"1.0";"1";"L/m2"
"22/09/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"22/09/2023";"Temperatura media  atura a 1.5m";"17.66";"1";"ºC"
"23/09/2023";"Lluvia";"0.0";"1";"L/m2"
"23/09/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"23/09/2023";"Temperatura media  atura a 1.5m";"17.32";"1";"ºC"
"24/09/2023";"Lluvia";"0.0";"1";"L/m2"
"24/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"24/09/2023";"Temperatura media  atura a 1.5m";"18.27";"1";"ºC"
"25/09/2023";"Lluvia";"0.0";"1";"L/m2"
"25/09/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"25/09/2023";"Temperatura media  atura a 1.5m";"20.04";"1";"ºC"
"26/09/2023";"Lluvia";"0.0";"1";"L/m2"
"26/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"26/09/2023";"Temperatura media  atura a 1.5m";"19.82";"1";"ºC"
"27/09/2023";"Lluvia";"0.0";"1";"L/m2"
"27/09/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"27/09/2023";"Temperatura media  atura a 1.5m";"20.48";"1";"ºC"
