Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Pontevedra-Campolongo";"";""
"15/05/2023";"Temperatura media  atura a 1.5m";"17.85";"1";"ºC"
"16/05/2023";"Lluvia";"0.0";"1";"L/m2"
"16/05/2023";"Humedad relativa media a 1.5m";"53";"1";"%"
"16/05/2023";"Temperatura media  atura a 1.5m";"17.96";"1";"ºC"
"17/05/2023";"Lluvia";"0.0";"1";"L/m2"
"17/05/2023";"Humedad relativa media a 1.5m";"46";"1";"%"
"17/05/2023";"Temperatura media  atura a 1.5m";"19.09";"1";"ºC"
"18/05/2023";"Lluvia";"0.0";"1";"L/m2"
"18/05/2023";"Humedad relativa media a 1.5m";"42";"1";"%"
"18/05/2023";"Temperatura media  atura a 1.5m";"18.00";"1";"ºC"
"19/05/2023";"Lluvia";"0.0";"1";"L/m2"
"19/05/2023";"Humedad relativa media a 1.5m";"47";"1";"%"
"19/05/2023";"Temperatura media  atura a 1.5m";"17.68";"1";"ºC"
"20/05/2023";"Lluvia";"0.0";"1";"L/m2"
"20/05/2023";"Humedad relativa media a 1.5m";"45";"1";"%"
"20/05/2023";"Temperatura media  atura a 1.5m";"18.32";"1";"ºC"
"21/05/2023";"Lluvia";"0.0";"1";"L/m2"
"21/05/2023";"Humedad relativa media a 1.5m";"50";"1";"%"
"21/05/2023";"Temperatura media  atura a 1.5m";"18.53";"1";"ºC"
"22/05/2023";"Lluvia";"0.0";"1";"L/m2"
"22/05/2023";"Humedad relativa media a 1.5m";"54";"1";"%"
"22/05/2023";"Temperatura media  atura a 1.5m";"20.23";"1";"ºC"
"23/05/2023";"Lluvia";"0.0";"1";"L/m2"
"23/05/2023";"Humedad relativa media a 1.5m";"54";"1";"%"
"23/05/2023";"Temperatura media  atura a 1.5m";"21.96";"1";"ºC"
"24/05/2023";"Lluvia";"0.0";"1";"L/m2"
"24/05/2023";"Humedad relativa media a 1.5m";"56";"1";"%"
"24/05/2023";"Temperatura media  atura a 1.5m";"21.97";"1";"ºC"
"25/05/2023";"Lluvia";"0.0";"1";"L/m2"
"25/05/2023";"Humedad relativa media a 1.5m";"55";"1";"%"
"25/05/2023";"Temperatura media  atura a 1.5m";"20.94";"1";"ºC"
"26/05/2023";"Lluvia";"1.9";"1";"L/m2"
"26/05/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"26/05/2023";"Temperatura media  atura a 1.5m";"19.02";"1";"ºC"
"27/05/2023";"Lluvia";"0.5";"1";"L/m2"
"27/05/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"27/05/2023";"Temperatura media  atura a 1.5m";"18.42";"1";"ºC"
"28/05/2023";"Lluvia";"3.8";"1";"L/m2"
"28/05/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"28/05/2023";"Temperatura media  atura a 1.5m";"17.57";"1";"ºC"
"29/05/2023";"Lluvia";"2.9";"1";"L/m2"
"29/05/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"29/05/2023";"Temperatura media  atura a 1.5m";"17.53";"1";"ºC"
"30/05/2023";"Lluvia";"0.0";"1";"L/m2"
"30/05/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"30/05/2023";"Temperatura media  atura a 1.5m";"18.55";"1";"ºC"
"31/05/2023";"Lluvia";"0.0";"1";"L/m2"
"31/05/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"31/05/2023";"Temperatura media  atura a 1.5m";"18.60";"1";"ºC"
"01/06/2023";"Lluvia";"0.8";"1";"L/m2"
"01/06/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"01/06/2023";"Temperatura media  atura a 1.5m";"18.87";"1";"ºC"
"02/06/2023";"Lluvia";"0.0";"1";"L/m2"
"02/06/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"02/06/2023";"Temperatura media  atura a 1.5m";"19.54";"1";"ºC"
"03/06/2023";"Lluvia";"0.0";"1";"L/m2"
"03/06/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"03/06/2023";"Temperatura media  atura a 1.5m";"18.68";"1";"ºC"
"04/06/2023";"Lluvia";"0.0";"1";"L/m2"
"04/06/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"04/06/2023";"Temperatura media  atura a 1.5m";"18.87";"1";"ºC"
"05/06/2023";"Lluvia";"0.0";"1";"L/m2"
"05/06/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"05/06/2023";"Temperatura media  atura a 1.5m";"18.24";"1";"ºC"
"06/06/2023";"Lluvia";"0.0";"1";"L/m2"
"06/06/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"06/06/2023";"Temperatura media  atura a 1.5m";"22.81";"1";"ºC"
"07/06/2023";"Lluvia";"18.3";"1";"L/m2"
"07/06/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"07/06/2023";"Temperatura media  atura a 1.5m";"20.15";"1";"ºC"
"08/06/2023";"Lluvia";"32.0";"1";"L/m2"
"08/06/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"08/06/2023";"Temperatura media  atura a 1.5m";"20.09";"1";"ºC"
"09/06/2023";"Lluvia";"4.4";"1";"L/m2"
"09/06/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"09/06/2023";"Temperatura media  atura a 1.5m";"19.79";"1";"ºC"
"10/06/2023";"Lluvia";"1.8";"1";"L/m2"
"10/06/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"10/06/2023";"Temperatura media  atura a 1.5m";"19.51";"1";"ºC"
"11/06/2023";"Lluvia";"0.0";"1";"L/m2"
"11/06/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"11/06/2023";"Temperatura media  atura a 1.5m";"19.03";"1";"ºC"
"12/06/2023";"Lluvia";"0.4";"1";"L/m2"
"12/06/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"12/06/2023";"Temperatura media  atura a 1.5m";"20.08";"1";"ºC"
"13/06/2023";"Lluvia";"16.3";"1";"L/m2"
"13/06/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"13/06/2023";"Temperatura media  atura a 1.5m";"19.98";"1";"ºC"
"14/06/2023";"Lluvia";"0.0";"1";"L/m2"
"14/06/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"14/06/2023";"Temperatura media  atura a 1.5m";"20.16";"1";"ºC"
"15/06/2023";"Lluvia";"0.0";"1";"L/m2"
"15/06/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"15/06/2023";"Temperatura media  atura a 1.5m";"21.79";"1";"ºC"
"16/06/2023";"Lluvia";"0.0";"1";"L/m2"
"16/06/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"16/06/2023";"Temperatura media  atura a 1.5m";"21.81";"1";"ºC"
"17/06/2023";"Lluvia";"0.0";"1";"L/m2"
"17/06/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"17/06/2023";"Temperatura media  atura a 1.5m";"21.48";"1";"ºC"
"18/06/2023";"Lluvia";"4.8";"1";"L/m2"
"18/06/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"18/06/2023";"Temperatura media  atura a 1.5m";"20.32";"1";"ºC"
"19/06/2023";"Lluvia";"24.4";"1";"L/m2"
"19/06/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"19/06/2023";"Temperatura media  atura a 1.5m";"18.72";"1";"ºC"
"20/06/2023";"Lluvia";"0.0";"1";"L/m2"
"20/06/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"20/06/2023";"Temperatura media  atura a 1.5m";"18.42";"1";"ºC"
"21/06/2023";"Lluvia";"0.0";"1";"L/m2"
"21/06/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"21/06/2023";"Temperatura media  atura a 1.5m";"20.37";"1";"ºC"
"22/06/2023";"Lluvia";"0.0";"1";"L/m2"
"22/06/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"22/06/2023";"Temperatura media  atura a 1.5m";"21.06";"1";"ºC"
"23/06/2023";"Lluvia";"0.0";"1";"L/m2"
"23/06/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"23/06/2023";"Temperatura media  atura a 1.5m";"23.23";"1";"ºC"
"24/06/2023";"Lluvia";"0.0";"1";"L/m2"
"24/06/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"24/06/2023";"Temperatura media  atura a 1.5m";"23.56";"1";"ºC"
"25/06/2023";"Lluvia";"0.0";"1";"L/m2"
"25/06/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"25/06/2023";"Temperatura media  atura a 1.5m";"23.51";"1";"ºC"
"26/06/2023";"Lluvia";"0.0";"1";"L/m2"
"26/06/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"26/06/2023";"Temperatura media  atura a 1.5m";"23.76";"1";"ºC"
"27/06/2023";"Lluvia";"0.0";"1";"L/m2"
"27/06/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"27/06/2023";"Temperatura media  atura a 1.5m";"24.29";"1";"ºC"
"28/06/2023";"Lluvia";"0.0";"1";"L/m2"
"28/06/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"28/06/2023";"Temperatura media  atura a 1.5m";"22.57";"1";"ºC"
"29/06/2023";"Lluvia";"0.0";"1";"L/m2"
"29/06/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"29/06/2023";"Temperatura media  atura a 1.5m";"20.00";"1";"ºC"
"30/06/2023";"Lluvia";"0.0";"1";"L/m2"
"30/06/2023";"Humedad relativa media a 1.5m";"55";"1";"%"
"30/06/2023";"Temperatura media  atura a 1.5m";"21.00";"1";"ºC"
"01/07/2023";"Lluvia";"0.0";"1";"L/m2"
"01/07/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"01/07/2023";"Temperatura media  atura a 1.5m";"23.74";"1";"ºC"
"02/07/2023";"Lluvia";"0.0";"1";"L/m2"
"02/07/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"02/07/2023";"Temperatura media  atura a 1.5m";"24.99";"1";"ºC"
"03/07/2023";"Lluvia";"0.0";"1";"L/m2"
"03/07/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"03/07/2023";"Temperatura media  atura a 1.5m";"22.78";"1";"ºC"
"04/07/2023";"Lluvia";"0.0";"1";"L/m2"
"04/07/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"04/07/2023";"Temperatura media  atura a 1.5m";"20.61";"1";"ºC"
"05/07/2023";"Lluvia";"0.0";"1";"L/m2"
"05/07/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"05/07/2023";"Temperatura media  atura a 1.5m";"20.69";"1";"ºC"
"06/07/2023";"Lluvia";"0.0";"1";"L/m2"
"06/07/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"06/07/2023";"Temperatura media  atura a 1.5m";"20.31";"1";"ºC"
"07/07/2023";"Lluvia";"4.1";"1";"L/m2"
"07/07/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"07/07/2023";"Temperatura media  atura a 1.5m";"20.05";"1";"ºC"
"08/07/2023";"Lluvia";"0.4";"1";"L/m2"
"08/07/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"08/07/2023";"Temperatura media  atura a 1.5m";"20.64";"1";"ºC"
"09/07/2023";"Lluvia";"0.0";"1";"L/m2"
"09/07/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"09/07/2023";"Temperatura media  atura a 1.5m";"19.70";"1";"ºC"
"10/07/2023";"Lluvia";"0.0";"1";"L/m2"
"10/07/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"10/07/2023";"Temperatura media  atura a 1.5m";"20.38";"1";"ºC"
"11/07/2023";"Lluvia";"0.0";"1";"L/m2"
"11/07/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"11/07/2023";"Temperatura media  atura a 1.5m";"20.71";"1";"ºC"
"12/07/2023";"Lluvia";"0.0";"1";"L/m2"
"12/07/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"12/07/2023";"Temperatura media  atura a 1.5m";"21.38";"1";"ºC"
"13/07/2023";"Lluvia";"0.0";"1";"L/m2"
"13/07/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"13/07/2023";"Temperatura media  atura a 1.5m";"20.60";"1";"ºC"
"14/07/2023";"Lluvia";"4.3";"1";"L/m2"
"14/07/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"14/07/2023";"Temperatura media  atura a 1.5m";"19.03";"1";"ºC"
"15/07/2023";"Lluvia";"2.6";"1";"L/m2"
"15/07/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"15/07/2023";"Temperatura media  atura a 1.5m";"19.58";"1";"ºC"
"16/07/2023";"Lluvia";"0.0";"1";"L/m2"
"16/07/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"16/07/2023";"Temperatura media  atura a 1.5m";"18.54";"1";"ºC"
"17/07/2023";"Lluvia";"0.0";"1";"L/m2"
"17/07/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"17/07/2023";"Temperatura media  atura a 1.5m";"21.92";"1";"ºC"
"18/07/2023";"Lluvia";"0.0";"1";"L/m2"
"18/07/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"18/07/2023";"Temperatura media  atura a 1.5m";"21.51";"1";"ºC"
"19/07/2023";"Lluvia";"0.0";"1";"L/m2"
"19/07/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"19/07/2023";"Temperatura media  atura a 1.5m";"23.22";"1";"ºC"
"20/07/2023";"Lluvia";"0.0";"1";"L/m2"
"20/07/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"20/07/2023";"Temperatura media  atura a 1.5m";"21.00";"1";"ºC"
"21/07/2023";"Lluvia";"0.0";"1";"L/m2"
"21/07/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"21/07/2023";"Temperatura media  atura a 1.5m";"21.46";"1";"ºC"
"22/07/2023";"Lluvia";"0.0";"1";"L/m2"
"22/07/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"22/07/2023";"Temperatura media  atura a 1.5m";"21.94";"1";"ºC"
"23/07/2023";"Lluvia";"5.4";"1";"L/m2"
"23/07/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"23/07/2023";"Temperatura media  atura a 1.5m";"19.61";"1";"ºC"
"24/07/2023";"Lluvia";"0.0";"1";"L/m2"
"24/07/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"24/07/2023";"Temperatura media  atura a 1.5m";"19.76";"1";"ºC"
"25/07/2023";"Lluvia";"0.0";"1";"L/m2"
"25/07/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"25/07/2023";"Temperatura media  atura a 1.5m";"19.79";"1";"ºC"
"26/07/2023";"Lluvia";"0.0";"1";"L/m2"
"26/07/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"26/07/2023";"Temperatura media  atura a 1.5m";"22.44";"1";"ºC"
"27/07/2023";"Lluvia";"0.0";"1";"L/m2"
"27/07/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"27/07/2023";"Temperatura media  atura a 1.5m";"20.76";"1";"ºC"
"28/07/2023";"Lluvia";"9.1";"1";"L/m2"
"28/07/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"28/07/2023";"Temperatura media  atura a 1.5m";"20.76";"1";"ºC"
"29/07/2023";"Lluvia";"1.6";"1";"L/m2"
"29/07/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"29/07/2023";"Temperatura media  atura a 1.5m";"22.11";"1";"ºC"
"30/07/2023";"Lluvia";"0.0";"1";"L/m2"
"30/07/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"30/07/2023";"Temperatura media  atura a 1.5m";"20.90";"1";"ºC"
"31/07/2023";"Lluvia";"0.0";"1";"L/m2"
"31/07/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"31/07/2023";"Temperatura media  atura a 1.5m";"20.70";"1";"ºC"
"01/08/2023";"Lluvia";"4.0";"1";"L/m2"
"01/08/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"01/08/2023";"Temperatura media  atura a 1.5m";"21.24";"1";"ºC"
"02/08/2023";"Lluvia";"9.1";"1";"L/m2"
"02/08/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"02/08/2023";"Temperatura media  atura a 1.5m";"21.42";"1";"ºC"
"03/08/2023";"Lluvia";"0.0";"1";"L/m2"
"03/08/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"03/08/2023";"Temperatura media  atura a 1.5m";"20.03";"1";"ºC"
"04/08/2023";"Lluvia";"0.0";"1";"L/m2"
"04/08/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"04/08/2023";"Temperatura media  atura a 1.5m";"20.34";"1";"ºC"
"05/08/2023";"Lluvia";"0.0";"1";"L/m2"
"05/08/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"05/08/2023";"Temperatura media  atura a 1.5m";"22.23";"1";"ºC"
"06/08/2023";"Lluvia";"0.0";"1";"L/m2"
"06/08/2023";"Humedad relativa media a 1.5m";"53";"1";"%"
"06/08/2023";"Temperatura media  atura a 1.5m";"23.90";"1";"ºC"
"07/08/2023";"Lluvia";"0.0";"1";"L/m2"
"07/08/2023";"Humedad relativa media a 1.5m";"50";"1";"%"
"07/08/2023";"Temperatura media  atura a 1.5m";"25.57";"1";"ºC"
"08/08/2023";"Lluvia";"0.0";"1";"L/m2"
"08/08/2023";"Humedad relativa media a 1.5m";"60";"1";"%"
"08/08/2023";"Temperatura media  atura a 1.5m";"23.88";"1";"ºC"
"09/08/2023";"Lluvia";"0.0";"1";"L/m2"
"09/08/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"09/08/2023";"Temperatura media  atura a 1.5m";"21.36";"1";"ºC"
"10/08/2023";"Lluvia";"0.0";"1";"L/m2"
"10/08/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"10/08/2023";"Temperatura media  atura a 1.5m";"22.53";"1";"ºC"
"11/08/2023";"Lluvia";"0.5";"1";"L/m2"
"11/08/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"11/08/2023";"Temperatura media  atura a 1.5m";"22.44";"1";"ºC"
"12/08/2023";"Lluvia";"0.0";"1";"L/m2"
"12/08/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"12/08/2023";"Temperatura media  atura a 1.5m";"22.77";"1";"ºC"
"13/08/2023";"Lluvia";"0.0";"1";"L/m2"
"13/08/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"13/08/2023";"Temperatura media  atura a 1.5m";"21.23";"1";"ºC"
"14/08/2023";"Lluvia";"0.0";"1";"L/m2"
"14/08/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"14/08/2023";"Temperatura media  atura a 1.5m";"20.64";"1";"ºC"
"15/08/2023";"Lluvia";"0.0";"1";"L/m2"
"15/08/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"15/08/2023";"Temperatura media  atura a 1.5m";"22.50";"1";"ºC"
"16/08/2023";"Lluvia";"0.0";"1";"L/m2"
"16/08/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"16/08/2023";"Temperatura media  atura a 1.5m";"21.94";"1";"ºC"
"17/08/2023";"Lluvia";"0.0";"1";"L/m2"
"17/08/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"17/08/2023";"Temperatura media  atura a 1.5m";"20.78";"1";"ºC"
"18/08/2023";"Lluvia";"32.6";"1";"L/m2"
"18/08/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"18/08/2023";"Temperatura media  atura a 1.5m";"23.09";"1";"ºC"
"19/08/2023";"Lluvia";"9.7";"1";"L/m2"
"19/08/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"19/08/2023";"Temperatura media  atura a 1.5m";"21.18";"1";"ºC"
"20/08/2023";"Lluvia";"0.0";"1";"L/m2"
"20/08/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"20/08/2023";"Temperatura media  atura a 1.5m";"22.67";"1";"ºC"
"21/08/2023";"Lluvia";"0.0";"1";"L/m2"
"21/08/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"21/08/2023";"Temperatura media  atura a 1.5m";"24.35";"1";"ºC"
"22/08/2023";"Lluvia";"0.0";"1";"L/m2"
"22/08/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"22/08/2023";"Temperatura media  atura a 1.5m";"26.41";"1";"ºC"
"23/08/2023";"Lluvia";"0.0";"1";"L/m2"
"23/08/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"23/08/2023";"Temperatura media  atura a 1.5m";"24.67";"1";"ºC"
"24/08/2023";"Lluvia";"0.0";"1";"L/m2"
"24/08/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"24/08/2023";"Temperatura media  atura a 1.5m";"22.30";"1";"ºC"
"25/08/2023";"Lluvia";"0.0";"1";"L/m2"
"25/08/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"25/08/2023";"Temperatura media  atura a 1.5m";"21.22";"1";"ºC"
"26/08/2023";"Lluvia";"0.0";"1";"L/m2"
"26/08/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"26/08/2023";"Temperatura media  atura a 1.5m";"18.88";"1";"ºC"
"27/08/2023";"Lluvia";"0.0";"1";"L/m2"
"27/08/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"27/08/2023";"Temperatura media  atura a 1.5m";"18.68";"1";"ºC"
"28/08/2023";"Lluvia";"0.0";"1";"L/m2"
"28/08/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"28/08/2023";"Temperatura media  atura a 1.5m";"19.73";"1";"ºC"
"29/08/2023";"Lluvia";"0.0";"1";"L/m2"
"29/08/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"29/08/2023";"Temperatura media  atura a 1.5m";"21.02";"1";"ºC"
"30/08/2023";"Lluvia";"0.0";"1";"L/m2"
"30/08/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"30/08/2023";"Temperatura media  atura a 1.5m";"21.33";"1";"ºC"
"31/08/2023";"Lluvia";"0.0";"1";"L/m2"
"31/08/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"31/08/2023";"Temperatura media  atura a 1.5m";"21.04";"1";"ºC"
"01/09/2023";"Lluvia";"1.8";"1";"L/m2"
"01/09/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"01/09/2023";"Temperatura media  atura a 1.5m";"19.27";"1";"ºC"
"02/09/2023";"Lluvia";"0.0";"1";"L/m2"
"02/09/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"02/09/2023";"Temperatura media  atura a 1.5m";"19.15";"1";"ºC"
"03/09/2023";"Lluvia";"2.0";"1";"L/m2"
"03/09/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"03/09/2023";"Temperatura media  atura a 1.5m";"21.15";"1";"ºC"
"04/09/2023";"Lluvia";"7.1";"1";"L/m2"
"04/09/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"04/09/2023";"Temperatura media  atura a 1.5m";"20.42";"1";"ºC"
"05/09/2023";"Lluvia";"11.8";"1";"L/m2"
"05/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"05/09/2023";"Temperatura media  atura a 1.5m";"21.07";"1";"ºC"
"06/09/2023";"Lluvia";"0.0";"1";"L/m2"
"06/09/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"06/09/2023";"Temperatura media  atura a 1.5m";"21.76";"1";"ºC"
"07/09/2023";"Lluvia";"0.0";"1";"L/m2"
"07/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"07/09/2023";"Temperatura media  atura a 1.5m";"21.62";"1";"ºC"
"08/09/2023";"Lluvia";"0.0";"1";"L/m2"
"08/09/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"08/09/2023";"Temperatura media  atura a 1.5m";"21.78";"1";"ºC"
"09/09/2023";"Lluvia";"18.8";"1";"L/m2"
"09/09/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"09/09/2023";"Temperatura media  atura a 1.5m";"19.68";"1";"ºC"
"10/09/2023";"Lluvia";"0.0";"1";"L/m2"
"10/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"10/09/2023";"Temperatura media  atura a 1.5m";"20.14";"1";"ºC"
"11/09/2023";"Lluvia";"0.0";"1";"L/m2"
"11/09/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"11/09/2023";"Temperatura media  atura a 1.5m";"20.20";"1";"ºC"
"12/09/2023";"Lluvia";"0.0";"1";"L/m2"
"12/09/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"12/09/2023";"Temperatura media  atura a 1.5m";"21.08";"1";"ºC"
"13/09/2023";"Lluvia";"0.0";"1";"L/m2"
"13/09/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"13/09/2023";"Temperatura media  atura a 1.5m";"22.50";"1";"ºC"
"14/09/2023";"Lluvia";"0.0";"1";"L/m2"
"14/09/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"14/09/2023";"Temperatura media  atura a 1.5m";"22.19";"1";"ºC"
"15/09/2023";"Lluvia";"0.0";"1";"L/m2"
"15/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"15/09/2023";"Temperatura media  atura a 1.5m";"20.06";"1";"ºC"
"16/09/2023";"Lluvia";"4.1";"1";"L/m2"
"16/09/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"16/09/2023";"Temperatura media  atura a 1.5m";"20.21";"1";"ºC"
"17/09/2023";"Lluvia";"18.2";"1";"L/m2"
"17/09/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"17/09/2023";"Temperatura media  atura a 1.5m";"18.44";"1";"ºC"
"18/09/2023";"Lluvia";"9.8";"1";"L/m2"
"18/09/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"18/09/2023";"Temperatura media  atura a 1.5m";"19.21";"1";"ºC"
"19/09/2023";"Lluvia";"0.0";"1";"L/m2"
"19/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"19/09/2023";"Temperatura media  atura a 1.5m";"17.93";"1";"ºC"
"20/09/2023";"Lluvia";"14.0";"1";"L/m2"
"20/09/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"20/09/2023";"Temperatura media  atura a 1.5m";"18.61";"1";"ºC"
"21/09/2023";"Lluvia";"2.6";"1";"L/m2"
"21/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"21/09/2023";"Temperatura media  atura a 1.5m";"17.85";"1";"ºC"
"22/09/2023";"Lluvia";"1.5";"1";"L/m2"
"22/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"22/09/2023";"Temperatura media  atura a 1.5m";"16.46";"1";"ºC"
"23/09/2023";"Lluvia";"0.0";"1";"L/m2"
"23/09/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"23/09/2023";"Temperatura media  atura a 1.5m";"16.34";"1";"ºC"
"24/09/2023";"Lluvia";"0.0";"1";"L/m2"
"24/09/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"24/09/2023";"Temperatura media  atura a 1.5m";"17.53";"1";"ºC"
"25/09/2023";"Lluvia";"0.0";"1";"L/m2"
"25/09/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"25/09/2023";"Temperatura media  atura a 1.5m";"20.09";"1";"ºC"
"26/09/2023";"Lluvia";"0.0";"1";"L/m2"
"26/09/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"26/09/2023";"Temperatura media  atura a 1.5m";"20.05";"1";"ºC"
"27/09/2023";"Lluvia";"0.0";"1";"L/m2"
"27/09/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"27/09/2023";"Temperatura media  atura a 1.5m";"19.05";"1";"ºC"
